global_id,camera_id,frame_idx,timestamp_iso,x1,y1,x2,y2,confidence
0,cam0,144,2025-11-13T03:45:32.653437+00:00,304,0,436,338,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,607,0,740,257,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,891,69,1148,587,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,714,126,935,702,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,304,0,436,338,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,607,0,740,257,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,891,69,1148,587,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,714,126,935,702,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,304,0,436,338,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,607,0,740,257,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,891,69,1148,587,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,714,126,935,702,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,304,0,436,338,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,607,0,740,257,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,891,69,1148,587,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,714,126,935,702,1.0
0,cam1,80,2025-11-13T03:45:32.527273+00:00,909,33,1025,354,1.0
0,cam1,64,2025-11-13T03:45:31.982875+00:00,924,34,1008,182,1.0
0,cam1,80,2025-11-13T03:45:32.527273+00:00,977,63,1156,390,1.0
0,cam1,80,2025-11-13T03:45:32.527273+00:00,219,65,515,556,1.0
0,cam1,80,2025-11-13T03:45:32.527273+00:00,121,30,278,424,1.0
0,cam1,64,2025-11-13T03:45:31.982875+00:00,913,33,1008,210,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,304,0,436,338,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,607,0,740,257,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,891,69,1148,587,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,714,126,935,702,1.0
0,cam1,80,2025-11-13T03:45:32.527273+00:00,909,33,1025,354,1.0
0,cam1,64,2025-11-13T03:45:31.982875+00:00,924,34,1008,182,1.0
0,cam1,80,2025-11-13T03:45:32.527273+00:00,977,63,1156,390,1.0
0,cam1,80,2025-11-13T03:45:32.527273+00:00,219,65,515,556,1.0
0,cam1,80,2025-11-13T03:45:32.527273+00:00,121,30,278,424,1.0
0,cam1,64,2025-11-13T03:45:31.982875+00:00,913,33,1008,210,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,304,0,436,338,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,607,0,740,257,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,891,69,1148,587,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,714,126,935,702,1.0
0,cam1,80,2025-11-13T03:45:32.527273+00:00,909,33,1025,354,1.0
0,cam1,64,2025-11-13T03:45:31.982875+00:00,924,34,1008,182,1.0
0,cam1,96,2025-11-13T03:45:33.040891+00:00,1027,62,1182,387,1.0
0,cam1,96,2025-11-13T03:45:33.040891+00:00,185,67,388,551,1.0
0,cam1,96,2025-11-13T03:45:33.040891+00:00,101,30,231,424,1.0
0,cam1,64,2025-11-13T03:45:31.982875+00:00,913,33,1008,210,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,304,0,436,338,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,607,0,740,257,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,891,69,1148,587,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,714,126,935,702,1.0
0,cam1,96,2025-11-13T03:45:33.040891+00:00,906,34,1026,355,1.0
0,cam1,64,2025-11-13T03:45:31.982875+00:00,924,34,1008,182,1.0
0,cam1,96,2025-11-13T03:45:33.040891+00:00,1027,62,1182,387,1.0
0,cam1,96,2025-11-13T03:45:33.040891+00:00,185,67,388,551,1.0
0,cam1,96,2025-11-13T03:45:33.040891+00:00,101,30,231,424,1.0
0,cam1,64,2025-11-13T03:45:31.982875+00:00,913,33,1008,210,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,304,0,436,338,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,607,0,740,257,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,891,69,1148,587,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,714,126,935,702,1.0
0,cam1,96,2025-11-13T03:45:33.040891+00:00,906,34,1026,355,1.0
0,cam1,64,2025-11-13T03:45:31.982875+00:00,924,34,1008,182,1.0
0,cam1,96,2025-11-13T03:45:33.040891+00:00,1027,62,1182,387,1.0
0,cam1,96,2025-11-13T03:45:33.040891+00:00,185,67,388,551,1.0
0,cam1,96,2025-11-13T03:45:33.040891+00:00,101,30,231,424,1.0
0,cam1,64,2025-11-13T03:45:31.982875+00:00,913,33,1008,210,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,304,0,436,338,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,607,0,740,257,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,891,69,1148,587,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,714,126,935,702,1.0
0,cam1,96,2025-11-13T03:45:33.040891+00:00,906,34,1026,355,1.0
0,cam1,64,2025-11-13T03:45:31.982875+00:00,924,34,1008,182,1.0
0,cam1,96,2025-11-13T03:45:33.040891+00:00,1027,62,1182,387,1.0
0,cam1,96,2025-11-13T03:45:33.040891+00:00,185,67,388,551,1.0
0,cam1,96,2025-11-13T03:45:33.040891+00:00,101,30,231,424,1.0
0,cam1,64,2025-11-13T03:45:31.982875+00:00,913,33,1008,210,1.0
0,cam2,36,2025-11-13T03:45:33.040267+00:00,381,1,653,708,1.0
0,cam2,36,2025-11-13T03:45:33.040267+00:00,346,20,451,365,1.0
0,cam2,36,2025-11-13T03:45:33.040267+00:00,1018,1,1263,679,1.0
0,cam2,36,2025-11-13T03:45:33.040267+00:00,346,19,451,207,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,304,0,436,338,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,607,0,740,257,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,891,69,1148,587,1.0
0,cam0,144,2025-11-13T03:45:32.653437+00:00,714,126,935,702,1.0
0,cam2,36,2025-11-13T03:45:33.040267+00:00,381,1,653,708,1.0
0,cam2,36,2025-11-13T03:45:33.040267+00:00,346,20,451,365,1.0
0,cam2,36,2025-11-13T03:45:33.040267+00:00,1018,1,1263,679,1.0
0,cam2,36,2025-11-13T03:45:33.040267+00:00,346,19,451,207,1.0
0,cam1,96,2025-11-13T03:45:33.040891+00:00,906,34,1026,355,1.0
0,cam1,64,2025-11-13T03:45:31.982875+00:00,924,34,1008,182,1.0
0,cam1,96,2025-11-13T03:45:33.040891+00:00,1027,62,1182,387,1.0
0,cam1,96,2025-11-13T03:45:33.040891+00:00,185,67,388,551,1.0
0,cam1,96,2025-11-13T03:45:33.040891+00:00,101,30,231,424,1.0
0,cam1,64,2025-11-13T03:45:31.982875+00:00,913,33,1008,210,1.0
0,cam0,160,2025-11-13T03:45:33.183369+00:00,295,0,467,306,1.0
0,cam0,160,2025-11-13T03:45:33.183369+00:00,606,0,713,251,1.0
0,cam0,160,2025-11-13T03:45:33.183369+00:00,971,70,1157,587,1.0
0,cam0,160,2025-11-13T03:45:33.183369+00:00,755,164,1112,704,1.0
0,cam2,56,2025-11-13T03:45:33.738725+00:00,345,1,621,707,1.0
0,cam2,36,2025-11-13T03:45:33.040267+00:00,346,20,451,365,1.0
0,cam2,56,2025-11-13T03:45:33.738725+00:00,1058,0,1266,701,1.0
1,cam2,56,2025-11-13T03:45:33.738725+00:00,365,40,416,82,1.0
0,cam0,180,2025-11-13T03:45:33.840638+00:00,355,0,456,298,1.0
0,cam0,180,2025-11-13T03:45:33.840638+00:00,607,0,727,251,1.0
0,cam0,180,2025-11-13T03:45:33.840638+00:00,864,69,1113,585,1.0
0,cam0,180,2025-11-13T03:45:33.840638+00:00,983,142,1265,682,1.0
0,cam1,116,2025-11-13T03:45:33.740495+00:00,908,37,1027,356,1.0
0,cam1,64,2025-11-13T03:45:31.982875+00:00,924,34,1008,182,1.0
0,cam1,116,2025-11-13T03:45:33.740495+00:00,1011,48,1119,343,1.0
